season,away_team,posteam,X,game_id,home_team,home_score,away_score,touchdown,fourth_down_attempt,punt_inside_twenty,own_kickoff_recovery,extra_point_good,field_goal_made,return_touchdown,two_point_success,pass_touchdown,rush_touchdown,interception,fumble_lost,safety,offensive_retention,defensive_retention,special_retention,ishome,win,win_last,win_sum_3_current_full_window,win_sum_5_current_full_window,win_3_last,win_5_last,win_last_home,win_last_away,win_streak_ending_current_game,win_streak,punt_inside_twenty_last,punt_inside_twenty_sum_3_current_full_window,punt_inside_twenty_sum_5_current_full_window,punt_inside_twenty_3_last,punt_inside_twenty_5_last,exp_good_last,exp_good_sum_3_current_full_window,exp_good_sum_5_current_full_window,exp_good_3_last,exp_good_5_last,field_goal_last,field_goal_sum_3_current_full_window,field_goal_sum_5_current_full_window,field_goal_3_last,field_goal_5_last,ret_td_last,ret_td_sum_3_current_full_window,ret_td_sum_5_current_full_window,ret_td_3_last,ret_td_5_last,twop_last,twop_sum_3_current_full_window,twop_sum_5_current_full_window,twop_3_last,twop_5_last,pass_td_last,pass_td_sum_3_current_full_window,pass_td_sum_5_current_full_window,pass_td_3_last,pass_td_5_last,rush_td_last,rush_td_sum_3_current_full_window,rush_td_sum_5_current_full_window,rush_td_3_last,rush_td_5_last,int_last,int_sum_3_current_full_window,int_sum_5_current_full_window,int_3_last,int_5_last,fumble_last,fumble_sum_3_current_full_window,fumble_sum_5_current_full_window,fumble_3_last,fumble_5_last,safety_last,safety_sum_3_current_full_window,safety_sum_5_current_full_window,safety_3_last,safety_5_last,off_ret,def_ret,spec_ret,opponent,new_qb,new_coach,game_id_away,off_ret_away,def_ret_away,spec_ret_away,new_coach_away,touchdown_away,extra_point_good_away,field_goal_made_away,two_point_success_away
2004,ARI,LA,5450,2004_01_ARI_STL,LA,17,10,1,0,0,0,0,3,0,1,1,0,1,2,0,18,18,2,1,1,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,2,ARI,0,0,2004_08_ARI_BUF,15,12,2,1,2,2,0,0
2004,ATL,SF,9528,2004_01_ATL_SF,SF,19,21,2,1,1,0,1,2,0,0,2,0,1,1,0,22,17,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,17,1,ATL,1,0,2004_11_ATL_NYG,17,15,2,1,2,2,0,0
2004,BAL,CLE,2389,2004_01_BAL_CLE,CLE,20,3,2,0,3,0,2,2,0,0,1,1,0,0,0,21,23,2,1,1,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,23,2,BAL,1,0,2004_16_BAL_PIT,21,21,3,0,1,1,0,0
2004,CIN,NYJ,8161,2004_01_CIN_NYJ,NYJ,31,24,3,1,1,0,4,1,0,0,2,1,0,1,0,20,16,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,16,1,CIN,0,0,2004_08_CIN_TEN,20,14,1,0,1,2,2,0
2004,DAL,MIN,6806,2004_01_DAL_MIN,MIN,35,17,5,0,1,0,5,0,0,0,5,0,0,0,0,19,17,2,1,1,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,17,2,DAL,0,0,2004_15_DAL_PHI,15,17,1,0,1,1,0,0
2004,DET,CHI,1700,2004_01_DET_CHI,CHI,16,20,3,0,4,0,2,0,0,0,0,2,2,2,0,19,17,2,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,17,2,DET,1,1,2004_05_DET_ATL,19,19,2,0,2,2,1,0
2004,GB,CAR,1367,2004_01_GB_CAR,CAR,14,24,2,0,3,0,2,0,0,0,2,0,1,1,0,20,19,2,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,19,2,GB,0,0,2004_17_GB_CHI,22,19,1,0,3,4,1,0
2004,IND,NE,7151,2004_01_IND_NE,NE,27,24,3,0,0,0,3,2,0,0,3,0,1,0,0,19,22,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,22,1,IND,0,0,2004_12_IND_DET,20,20,2,0,6,5,0,0
2004,JAX,BUF,1021,2004_01_JAX_BUF,BUF,10,13,1,0,1,0,1,1,0,0,1,0,0,2,0,17,20,2,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,20,2,JAX,0,1,2004_12_JAX_MIN,24,15,1,0,2,1,3,0
2004,KC,DEN,3060,2004_01_KC_DEN,DEN,34,24,4,1,1,0,4,2,0,0,2,2,2,1,0,20,16,2,1,1,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,16,2,KC,0,0,2004_13_KC_OAK,20,19,1,0,4,4,2,0
2004,NYG,PHI,8509,2004_01_NYG_PHI,PHI,31,17,4,0,0,0,4,1,0,0,4,0,0,0,0,18,17,2,1,1,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,17,2,NYG,1,1,2004_13_NYG_WAS,15,13,1,0,1,1,0,0
2004,LV,PIT,8854,2004_01_OAK_PIT,PIT,24,21,3,0,2,0,3,1,0,0,0,3,0,1,0,22,20,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,20,1,LV,0,0,2004_09_OAK_CAR,21,13,2,0,3,3,2,0
2004,LAC,HOU,4090,2004_01_SD_HOU,HOU,20,27,2,0,1,0,2,2,0,0,0,2,2,2,0,23,19,2,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,19,2,LAC,0,0,2004_16_SD_IND,20,16,1,0,4,4,1,0
