"","posteam","season","game_id","home_team","away_team","home_score","away_score","touchdown","fourth_down_attempt","punt_inside_twenty","own_kickoff_recovery","extra_point_good","field_goal_made","return_touchdown","two_point_success","pass_touchdown","rush_touchdown","interception","fumble_lost","safety","offensive_retention","defensive_retention","special_retention"
"1","ARI",2004,"2004_01_ARI_STL","LA","ARI",17,10,1,0,2,0,1,1,0,0,0,1,0,0,0,15,12,2
"2","ARI",2004,"2004_12_NYJ_ARI","ARI","NYJ",3,13,0,0,2,0,0,1,0,0,0,0,3,1,0,15,12,2
"3","ARI",2004,"2004_14_SF_ARI","ARI","SF",28,31,3,0,1,0,2,2,0,1,0,3,1,0,0,15,12,2
"4","ARI",2004,"2004_08_ARI_BUF","BUF","ARI",38,14,2,2,3,0,2,0,0,0,1,1,0,0,0,15,12,2
"5","ARI",2004,"2004_16_ARI_SEA","SEA","ARI",24,21,3,0,3,0,3,0,0,0,3,0,2,0,0,15,12,2
"6","ARI",2004,"2004_09_ARI_MIA","MIA","ARI",23,24,2,1,2,0,3,1,0,0,1,1,0,1,0,15,12,2
"7","ARI",2004,"2004_02_NE_ARI","ARI","NE",12,23,1,1,1,0,0,2,0,0,0,1,2,0,0,15,12,2
"8","ARI",2004,"2004_11_ARI_CAR","CAR","ARI",35,10,1,2,2,0,1,1,0,0,1,0,3,1,0,15,12,2
"9","ARI",2004,"2004_17_TB_ARI","ARI","TB",12,7,0,0,4,0,0,4,0,0,0,0,1,0,0,15,12,2
"10","ARI",2004,"2004_13_ARI_DET","DET","ARI",26,12,1,1,0,0,0,2,0,0,1,0,4,0,0,15,12,2
"11","ARI",2004,"2004_05_ARI_SF","SF","ARI",31,28,5,1,3,0,4,0,1,0,3,1,1,0,0,15,12,2
"12","ARI",2004,"2004_03_ARI_ATL","ATL","ARI",6,3,0,0,1,0,0,1,0,0,0,0,0,4,0,15,12,2
"13","ARI",2004,"2004_07_SEA_ARI","ARI","SEA",25,17,3,1,3,0,2,3,1,0,1,1,1,1,0,15,12,2
"14","ARI",2004,"2004_15_STL_ARI","ARI","LA",31,7,5,1,3,0,4,1,1,0,2,2,0,1,0,15,12,2
"15","ARI",2004,"2004_04_NO_ARI","ARI","NO",34,10,4,1,0,0,4,2,0,0,1,2,0,1,0,15,12,2
"16","ARI",2004,"2004_10_NYG_ARI","ARI","NYG",17,14,2,1,2,0,2,1,0,0,0,2,0,0,0,15,12,2
"17","ARI",2005,"2005_01_ARI_NYG","NYG","ARI",42,19,2,1,1,0,1,2,1,0,1,0,2,0,0,14,16,2
"18","ARI",2005,"2005_05_CAR_ARI","ARI","CAR",20,24,2,4,1,0,2,2,0,0,2,0,3,1,0,14,16,2
"19","ARI",2005,"2005_07_TEN_ARI","ARI","TEN",20,10,1,0,0,0,2,2,0,0,1,0,1,0,0,14,16,2
"20","ARI",2005,"2005_08_ARI_DAL","DAL","ARI",34,13,2,2,1,0,1,2,1,0,1,0,2,0,0,14,16,2
"21","ARI",2005,"2005_13_ARI_SF","SF","ARI",10,17,1,1,3,0,0,3,0,1,1,0,2,0,0,14,16,2
"22","ARI",2005,"2005_10_ARI_DET","DET","ARI",29,21,2,1,3,0,1,2,0,1,1,1,0,1,1,14,16,2
"23","ARI",2005,"2005_11_ARI_STL","LA","ARI",28,38,4,0,1,1,3,3,0,1,3,1,0,1,0,14,16,2
"24","ARI",2005,"2005_02_STL_ARI","ARI","LA",12,17,0,0,0,0,0,4,0,0,0,0,1,1,0,14,16,2
"25","ARI",2005,"2005_15_ARI_HOU","HOU","ARI",30,19,2,0,2,0,1,2,0,0,2,0,2,2,0,14,16,2
"26","ARI",2005,"2005_16_PHI_ARI","ARI","PHI",27,21,2,0,2,0,3,2,0,0,2,0,1,0,0,14,16,2
"27","ARI",2005,"2005_14_WAS_ARI","ARI","WAS",13,17,1,1,1,0,1,2,0,0,1,0,1,3,0,14,16,2
"28","ARI",2005,"2005_03_ARI_SEA","SEA","ARI",37,12,0,0,1,0,0,4,0,0,0,0,1,1,0,14,16,2
"29","ARI",2005,"2005_17_ARI_IND","IND","ARI",17,13,1,2,1,0,1,2,0,0,1,0,1,1,0,14,16,2
"30","ARI",2005,"2005_09_SEA_ARI","ARI","SEA",19,33,1,3,0,0,1,4,0,0,1,0,3,1,0,14,16,2
"31","ARI",2005,"2005_04_SF_ARI","ARI","SF",31,14,4,0,0,0,1,6,1,0,2,0,0,2,0,14,16,2
"32","ARI",2005,"2005_12_JAX_ARI","ARI","JAX",17,24,2,1,1,0,2,1,0,0,2,0,1,1,0,14,16,2
"33","ARI",2006,"2006_12_ARI_MIN","MIN","ARI",31,26,2,3,0,0,2,2,1,0,1,0,2,2,0,18,18,3
"34","ARI",2006,"2006_03_STL_ARI","ARI","LA",14,16,2,1,1,0,2,0,0,0,1,1,3,1,0,18,18,3
"35","ARI",2006,"2006_15_DEN_ARI","ARI","DEN",20,37,1,1,1,0,2,2,0,0,0,1,2,0,0,18,18,3
"36","ARI",2006,"2006_04_ARI_ATL","ATL","ARI",32,10,1,1,2,0,1,1,1,0,0,0,2,2,0,18,18,3
"37","ARI",2006,"2006_02_ARI_SEA","SEA","ARI",21,10,1,0,1,0,1,1,0,0,1,0,1,1,0,18,18,3
"38","ARI",2006,"2006_08_ARI_GB","GB","ARI",31,14,2,2,3,0,2,0,0,0,1,1,1,0,0,18,18,3
"39","ARI",2006,"2006_16_ARI_SF","SF","ARI",20,26,2,1,2,0,2,4,0,0,1,1,0,0,0,18,18,3
"40","ARI",2006,"2006_07_ARI_OAK","LV","ARI",22,9,0,1,0,0,0,3,0,0,0,0,2,0,1,18,18,3
"41","ARI",2006,"2006_14_SEA_ARI","ARI","SEA",27,21,3,0,2,0,3,2,0,0,2,1,1,0,0,18,18,3
"42","ARI",2006,"2006_17_ARI_SD","LAC","ARI",27,20,2,0,0,0,2,2,0,0,1,1,0,0,0,18,18,3
"43","ARI",2006,"2006_01_SF_ARI","ARI","SF",34,27,4,0,0,1,4,2,0,0,3,1,0,1,0,18,18,3
"44","ARI",2006,"2006_13_ARI_STL","LA","ARI",20,34,4,1,1,1,4,2,0,0,1,3,0,0,0,18,18,3
"45","ARI",2006,"2006_11_DET_ARI","ARI","DET",17,10,2,0,1,0,2,1,0,0,1,1,0,0,0,18,18,3
"46","ARI",2006,"2006_05_KC_ARI","ARI","KC",20,23,2,1,2,0,2,2,0,0,2,0,1,0,0,18,18,3
"47","ARI",2006,"2006_06_CHI_ARI","ARI","CHI",23,24,5,0,2,0,2,3,3,0,2,0,0,2,0,18,18,3
"48","ARI",2006,"2006_10_DAL_ARI","ARI","DAL",10,27,1,3,0,0,1,1,0,0,0,1,2,1,0,18,18,3
"49","ARI",2007,"2007_01_ARI_SF","SF","ARI",20,17,2,0,3,0,2,1,0,0,1,1,2,0,0,13,16,2
"50","ARI",2007,"2007_02_SEA_ARI","ARI","SEA",23,20,2,0,3,0,2,3,0,0,1,1,1,0,0,13,16,2
"51","ARI",2007,"2007_11_ARI_CIN","CIN","ARI",27,35,4,0,0,0,5,0,0,0,2,1,0,0,0,13,16,2
